Договор,Дата_документа,Документ,Описание_работ,Тип_работ,Месторождение,Скважина,Сумма,НДС
Договор 111,2021-11-11,Акт об оказании производственных услуг ДРЛ00000668 от 11.11.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 14 скважина 1042, руб",Монтаж,Западно-Усть-Балыкское,1042,5266019.7,877669.95
Договор 111,2021-11-11,Акт об оказании производственных услуг ДРЛ00000668 от 11.11.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 14 скважина 1042, руб",Переезд,Западно-Усть-Балыкское,1042,4631359.07,771893.18
Договор 111,2021-12-08,Акт об оказании производственных услуг ДРЛ00000714 от 08.12.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 24 скважина 246, руб",Бурение,Западно-Усть-Балыкское,246,35095685.93,5849280.98
Договор 111,2021-12-08,Акт об оказании производственных услуг ДРЛ00000714 от 08.12.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 24 скважина 246, руб",Демонтаж,Западно-Усть-Балыкское,246,3242721.82,540453.64
Договор 111,2021-12-08,Акт об оказании производственных услуг ДРЛ00000714 от 08.12.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 24 скважина 246, руб",Монтаж,Западно-Усть-Балыкское,246,5266019.7,877669.95
Договор 111,2021-12-08,Акт об оказании производственных услуг ДРЛ00000714 от 08.12.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 24 скважина 246, руб",Переезд,Западно-Усть-Балыкское,246,8821144.84,1470190.81
Договор 111,2021-12-30,Акт об оказании производственных услуг ДРЛ00000811 от 30.12.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 1Б скважина 122, руб",Бурение,Западно-Усть-Балыкское,122,36972633.78,6162105.63
Договор 111,2021-12-30,Акт об оказании производственных услуг ДРЛ00000811 от 30.12.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 1Б скважина 122, руб",Монтаж,Западно-Усть-Балыкское,122,5266019.7,877669.95
Договор 111,2021-12-30,Акт об оказании производственных услуг ДРЛ00000811 от 30.12.2021 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 1Б скважина 122, руб",Переезд,Западно-Усть-Балыкское,122,10531261.48,1755210.25
Договор 111,2022-02-01,Акт об оказании производственных услуг ДРЛ00000031 от 01.02.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 2 скважина 179, руб",Бурение,Западно-Усть-Балыкское,179,40845197.62,6807532.94
Договор 111,2022-02-01,Акт об оказании производственных услуг ДРЛ00000031 от 01.02.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 2 скважина 179, руб",Демонтаж,Западно-Усть-Балыкское,179,3242721.82,540453.64
Договор 111,2022-02-01,Акт об оказании производственных услуг ДРЛ00000031 от 01.02.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 2 скважина 179, руб",Монтаж,Западно-Усть-Балыкское,179,5266019.7,877669.95
Договор 111,2022-02-01,Акт об оказании производственных услуг ДРЛ00000031 от 01.02.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 2 скважина 179, руб",Переезд,Западно-Усть-Балыкское,179,4032818.24,672136.37
Договор 111,2022-02-01,Акт об оказании производственных услуг ДРЛ00000065 от 01.02.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 1Б скважина 122, руб",Демонтаж,Западно-Усть-Балыкское,122,3242721.82,540453.64
Договор 111,2022-03-02,Акт об оказании производственных услуг ДРЛ00000133 от 02.03.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 1Б скважина 132, руб",Бурение,Западно-Усть-Балыкское,132,40009064.96,6668177.49
Договор 111,2022-03-02,Акт об оказании производственных услуг ДРЛ00000133 от 02.03.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 1Б скважина 132, руб",Демонтаж,Западно-Усть-Балыкское,132,3242721.82,540453.64
Договор 111,2022-03-02,Акт об оказании производственных услуг ДРЛ00000133 от 02.03.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 1Б скважина 132, руб",Монтаж,Западно-Усть-Балыкское,132,5266019.7,877669.95
Договор 111,2022-03-02,Акт об оказании производственных услуг ДРЛ00000133 от 02.03.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 1Б скважина 132, руб",Переезд,Западно-Усть-Балыкское,132,4032818.24,672136.37
Договор 111,2022-04-06,Акт об оказании производственных услуг ДРЛ00000185 от 06.04.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 5 скважина 98, руб",Бурение,Западно-Усть-Балыкское,98,26222451.76,4370408.63
Договор 111,2022-04-06,Акт об оказании производственных услуг ДРЛ00000185 от 06.04.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 5 скважина 98, руб",Демонтаж,Западно-Усть-Балыкское,98,3242721.82,540453.64
Договор 111,2022-04-06,Акт об оказании производственных услуг ДРЛ00000185 от 06.04.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 5 скважина 98, руб",Монтаж,Западно-Усть-Балыкское,98,5266019.7,877669.95
Договор 111,2022-04-06,Акт об оказании производственных услуг ДРЛ00000185 от 06.04.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 5 скважина 98, руб",Переезд,Западно-Усть-Балыкское,98,4032818.24,672136.37
Договор 111,2022-05-05,Акт об оказании производственных услуг ДРЛ00000261 от 05.05.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 14 скважина 61, руб",Бурение,Западно-Усть-Балыкское,61,37289453.72,6214908.95
Договор 111,2022-05-05,Акт об оказании производственных услуг ДРЛ00000261 от 05.05.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 14 скважина 61, руб",Демонтаж,Западно-Усть-Балыкское,61,3242721.82,540453.64
Договор 111,2022-05-05,Акт об оказании производственных услуг ДРЛ00000261 от 05.05.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 14 скважина 61, руб",Монтаж,Западно-Усть-Балыкское,61,5266019.7,877669.95
Договор 111,2022-05-05,Акт об оказании производственных услуг ДРЛ00000261 от 05.05.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 14 скважина 61, руб",Переезд,Западно-Усть-Балыкское,61,7709569.02,1284928.17
Договор 111,2022-06-04,Акт об оказании производственных услуг ДРЛ00000342 от 04.06.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 1Б скважина 107, руб",Бурение,Западно-Усть-Балыкское,107,36305185.45,6050864.24
Договор 111,2022-06-04,Акт об оказании производственных услуг ДРЛ00000342 от 04.06.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 1Б скважина 107, руб",Демонтаж,Западно-Усть-Балыкское,107,3242721.82,540453.64
Договор 111,2022-06-04,Акт об оказании производственных услуг ДРЛ00000342 от 04.06.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 1Б скважина 107, руб",Монтаж,Западно-Усть-Балыкское,107,5266019.7,877669.95
Договор 111,2022-06-04,Акт об оказании производственных услуг ДРЛ00000342 от 04.06.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 1Б скважина 107, руб",Переезд,Западно-Усть-Балыкское,107,4203829.91,700638.32
Договор 111,2022-06-27,Акт об оказании производственных услуг ДРЛ00000354 от 27.06.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 24 скважина 260, руб",Бурение,Западно-Усть-Балыкское,260,28503510.86,4750585.14
Договор 111,2022-06-27,Акт об оказании производственных услуг ДРЛ00000354 от 27.06.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 24 скважина 260, руб",Демонтаж,Западно-Усть-Балыкское,260,3242721.82,540453.64
Договор 111,2022-06-27,Акт об оказании производственных услуг ДРЛ00000354 от 27.06.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 24 скважина 260, руб",Монтаж,Западно-Усть-Балыкское,260,5266019.7,877669.95
Договор 111,2022-06-27,Акт об оказании производственных услуг ДРЛ00000354 от 27.06.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 24 скважина 260, руб",Переезд,Западно-Усть-Балыкское,260,10616767.31,1769461.22
Договор 111,2022-07-26,Акт об оказании производственных услуг ДРЛ00000419 от 26.07.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 9 скважина 918, руб",Бурение,Западно-Усть-Балыкское,918,45553894.1,7592315.68
Договор 111,2022-07-26,Акт об оказании производственных услуг ДРЛ00000419 от 26.07.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 9 скважина 918, руб",Демонтаж,Западно-Усть-Балыкское,918,3242721.82,540453.64
Договор 111,2022-07-26,Акт об оказании производственных услуг ДРЛ00000419 от 26.07.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 9 скважина 918, руб",Монтаж,Западно-Усть-Балыкское,918,5266019.7,877669.95
Договор 111,2022-07-26,Акт об оказании производственных услуг ДРЛ00000419 от 26.07.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 9 скважина 918, руб",Переезд,Западно-Усть-Балыкское,918,4032818.24,672136.37
Договор 111,2022-08-22,Акт об оказании производственных услуг ДРЛ00000508 от 22.08.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 2 скважина 158, руб",Бурение,Западно-Усть-Балыкское,158,300000.0,50000.0
Договор 111,2022-08-22,Акт об оказании производственных услуг ДРЛ00000475 от 22.08.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 2 скважина 158, руб",Бурение,Западно-Усть-Балыкское,158,39740688.09,6623448.01
Договор 111,2022-08-22,Акт об оказании производственных услуг ДРЛ00000475 от 22.08.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 2 скважина 158, руб",Демонтаж,Западно-Усть-Балыкское,158,3242721.82,540453.64
Договор 111,2022-08-22,Акт об оказании производственных услуг ДРЛ00000475 от 22.08.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 2 скважина 158, руб",Монтаж,Западно-Усть-Балыкское,158,5266019.7,877669.95
Договор 111,2022-08-22,Акт об оказании производственных услуг ДРЛ00000475 от 22.08.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 2 скважина 158, руб",Переезд,Западно-Усть-Балыкское,158,9419685.66,1569947.61
Договор 111,2022-09-13,Акт об оказании производственных услуг ДРЛ00000536 от 13.09.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 6 скважина 26, руб",Бурение,Западно-Усть-Балыкское,26,28304131.5,4717355.25
Договор 111,2022-09-13,Акт об оказании производственных услуг ДРЛ00000536 от 13.09.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 6 скважина 26, руб",Демонтаж,Западно-Усть-Балыкское,26,3242721.82,540453.64
Договор 111,2022-09-13,Акт об оказании производственных услуг ДРЛ00000536 от 13.09.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 6 скважина 26, руб",Монтаж,Западно-Усть-Балыкское,26,5266019.7,877669.95
Договор 111,2022-09-13,Акт об оказании производственных услуг ДРЛ00000536 от 13.09.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 6 скважина 26, руб",Переезд,Западно-Усть-Балыкское,26,4032818.24,672136.37
Договор 111,2022-10-10,Акт об оказании производственных услуг ДРЛ00000627 от 10.10.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 24 скважина 242, руб",Бурение,Западно-Усть-Балыкское,242,37762375.43,6293729.23
Договор 111,2022-10-10,Акт об оказании производственных услуг ДРЛ00000627 от 10.10.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 24 скважина 242, руб",Демонтаж,Западно-Усть-Балыкское,242,3242721.82,540453.64
Договор 111,2022-10-10,Акт об оказании производственных услуг ДРЛ00000627 от 10.10.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 24 скважина 242, руб",Монтаж,Западно-Усть-Балыкское,242,5266019.7,877669.95
Договор 111,2022-10-10,Акт об оказании производственных услуг ДРЛ00000627 от 10.10.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 24 скважина 242, руб",Переезд,Западно-Усть-Балыкское,242,9676203.16,1612700.53
Договор 111,2022-10-10,Акт об оказании производственных услуг ДРЛ00000628 от 10.10.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 24 скважина 242, руб",Бурение,Западно-Усть-Балыкское,242,300000.0,50000.0
Договор 111,2022-11-06,Акт об оказании производственных услуг ДРЛ00000696 от 06.11.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 9 скважина 911, руб",Бурение,Западно-Усть-Балыкское,911,50726535.11,8454422.52
Договор 111,2022-11-06,Акт об оказании производственных услуг ДРЛ00000696 от 06.11.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 9 скважина 911, руб",Демонтаж,Западно-Усть-Балыкское,911,3242721.82,540453.64
Договор 111,2022-11-06,Акт об оказании производственных услуг ДРЛ00000696 от 06.11.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 9 скважина 911, руб",Монтаж,Западно-Усть-Балыкское,911,5266019.7,877669.95
Договор 111,2022-11-06,Акт об оказании производственных услуг ДРЛ00000696 от 06.11.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 9 скважина 911, руб",Переезд,Западно-Усть-Балыкское,911,4032818.24,672136.37
Договор 111,2022-11-06,Акт об оказании производственных услуг ДРЛ00000697 от 06.11.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 9 скважина 911, руб",Бурение,Западно-Усть-Балыкское,911,300000.0,50000.0
Договор 111,2022-12-04,Акт об оказании производственных услуг ДРЛ00000759 от 04.12.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 7 скважина 176, руб",Бурение,Западно-Усть-Балыкское,176,41026951.32,6837825.21
Договор 111,2022-12-04,Акт об оказании производственных услуг ДРЛ00000759 от 04.12.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 7 скважина 176, руб",Демонтаж,Западно-Усть-Балыкское,176,3242721.82,540453.64
Договор 111,2022-12-04,Акт об оказании производственных услуг ДРЛ00000759 от 04.12.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 7 скважина 176, руб",Монтаж,Западно-Усть-Балыкское,176,5266019.7,877669.95
Договор 111,2022-12-04,Акт об оказании производственных услуг ДРЛ00000759 от 04.12.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 7 скважина 176, руб",Переезд,Западно-Усть-Балыкское,176,8393615.68,1398935.95
Договор 111,2022-12-04,Акт об оказании производственных услуг ДРЛ00000760 от 04.12.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 7 скважина 176, руб",Бурение,Западно-Усть-Балыкское,176,300000.0,50000.0
Договор 111,2022-12-31,Акт об оказании производственных услуг ДРЛ00000828 от 31.12.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 2 скважина 178, руб",Бурение,Западно-Усть-Балыкское,178,43516365.8,7252727.63
Договор 111,2022-12-31,Акт об оказании производственных услуг ДРЛ00000828 от 31.12.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 2 скважина 178, руб",Демонтаж,Западно-Усть-Балыкское,178,3242721.82,540453.64
Договор 111,2022-12-31,Акт об оказании производственных услуг ДРЛ00000828 от 31.12.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 2 скважина 178, руб",Монтаж,Западно-Усть-Балыкское,178,5266019.7,877669.95
Договор 111,2022-12-31,Акт об оказании производственных услуг ДРЛ00000828 от 31.12.2022 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 2 скважина 178, руб",Переезд,Западно-Усть-Балыкское,178,4032818.24,672136.37
Договор 111,2023-01-16,Акт об оказании производственных услуг ДРЛ00000010 от 16.01.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 2 скважина 178, руб",Бурение,Западно-Усть-Балыкское,178,600000.0,100000.0
Договор 111,2023-02-17,Акт об оказании производственных услуг ДРЛ00000060 от 17.02.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 2 скважина 177, руб",Бурение,Западно-Усть-Балыкское,177,39893535.06,6648922.51
Договор 111,2023-02-17,Акт об оказании производственных услуг ДРЛ00000060 от 17.02.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 2 скважина 177, руб",Демонтаж,Западно-Усть-Балыкское,177,3242721.82,540453.64
Договор 111,2023-02-17,Акт об оказании производственных услуг ДРЛ00000060 от 17.02.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 2 скважина 177, руб",Монтаж,Западно-Усть-Балыкское,177,5266019.7,877669.95
Договор 111,2023-03-14,Акт об оказании производственных услуг ДРЛ00000120 от 14.03.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 7 скважина 208, руб",Бурение,Западно-Усть-Балыкское,208,39384145.61,6564024.27
Договор 111,2023-03-14,Акт об оказании производственных услуг ДРЛ00000120 от 14.03.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 7 скважина 208, руб",Демонтаж,Западно-Усть-Балыкское,208,3242721.82,540453.64
Договор 111,2023-03-14,Акт об оказании производственных услуг ДРЛ00000120 от 14.03.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 7 скважина 208, руб",Монтаж,Западно-Усть-Балыкское,208,5266019.7,877669.95
Договор 111,2023-03-14,Акт об оказании производственных услуг ДРЛ00000120 от 14.03.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 7 скважина 208, руб",Переезд,Западно-Усть-Балыкское,208,4032818.24,672136.37
Договор 111,2023-03-14,Акт об оказании производственных услуг ДРЛ00000150 от 14.03.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 7 скважина 208, руб",Бурение,Западно-Усть-Балыкское,208,202228.79,33704.8
Договор 111,2023-04-13,Акт об оказании производственных услуг ДРЛ00000201 от 13.04.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 7 скважина 208, руб",Бурение,Западно-Усть-Балыкское,208,480000.0,80000.0
Договор 111,2023-04-14,Акт об оказании производственных услуг ДРЛ00000202 от 14.04.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 1Б скважина 305, руб",Бурение,Западно-Усть-Балыкское,305,50442944.63,8407157.44
Договор 111,2023-04-14,Акт об оказании производственных услуг ДРЛ00000202 от 14.04.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 1Б скважина 305, руб",Демонтаж,Западно-Усть-Балыкское,305,3242721.82,540453.64
Договор 111,2023-04-14,Акт об оказании производственных услуг ДРЛ00000202 от 14.04.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Монтаж м/р Западно-Усть-Балыкское куст 1Б скважина 305, руб",Монтаж,Западно-Усть-Балыкское,305,5266019.7,877669.95
Договор 111,2023-04-14,Акт об оказании производственных услуг ДРЛ00000202 от 14.04.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Переезд м/р Западно-Усть-Балыкское куст 1Б скважина 305, руб",Переезд,Западно-Усть-Балыкское,305,4032818.24,672136.37
Договор 111,2023-04-25,Акт об оказании производственных услуг ДРЛ00000214 от 25.04.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 1Б скважина 305, руб",Бурение,Западно-Усть-Балыкское,305,470400.0,78400.0
Договор 111,2023-05-10,Акт об оказании производственных услуг ДРЛ00000284 от 10.05.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Бурение м/р Западно-Усть-Балыкское куст 13 скважина 1072, руб",Бурение,Западно-Усть-Балыкское,1072,67944423.96,11324070.66
Договор 111,2023-05-10,Акт об оказании производственных услуг ДРЛ00000284 от 10.05.2023 23:00:00,"Выполнение работ по договору №ДРЛ_1 111_19 (ВР-189-10203/19-24) от 19.12.2019 Демонтаж м/р Западно-Усть-Балыкское куст 13 скважина 1072, руб",Демонтаж,Западно-Усть-Балыкское,1072,3242721.82,540453.64
