Договор,Дата_документа,Документ,Описание_работ,Тип_работ,Месторождение,Скважина,Сумма,НДС
Договор 110,2025-10-31,Акт об оказании производственных услуг ДРЛ00000829 от 31.10.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Монтаж м/р Тайлаковское куст 21 скважина 1211, руб",Монтаж,Тайлаковское,1211,5892676.04,982112.67
Договор 110,2025-10-31,Акт об оказании производственных услуг ДРЛ00000829 от 31.10.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Переезд м/р Тайлаковское куст 21 скважина 1211, руб",Переезд,Тайлаковское,1211,4512723.61,752120.6
Договор 110,2025-11-28,Акт об оказании производственных услуг ДРЛ00000949 от 28.11.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Бурение м/р Тайлаковское куст 5 скважина 162, руб",Бурение,Тайлаковское,162,89484923.46,14914153.91
Договор 110,2025-11-28,Акт об оказании производственных услуг ДРЛ00000949 от 28.11.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Демонтаж м/р Тайлаковское куст 5 скважина 162, руб",Демонтаж,Тайлаковское,162,3628605.71,604767.62
Договор 110,2025-11-28,Акт об оказании производственных услуг ДРЛ00000949 от 28.11.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Монтаж м/р Тайлаковское куст 5 скважина 162, руб",Монтаж,Тайлаковское,162,5892676.04,982112.67
Договор 110,2025-11-28,Акт об оказании производственных услуг ДРЛ00000949 от 28.11.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Переезд м/р Тайлаковское куст 5 скважина 162, руб",Переезд,Тайлаковское,162,4512723.61,752120.6
Договор 110,2025-12-22,Акт об оказании производственных услуг ДРЛ00001001 от 22.12.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Бурение м/р Тайлаковское куст 20 скважина 271, руб",Бурение,Тайлаковское,271,11234785.26,1872464.21
Договор 110,2025-12-22,Акт об оказании производственных услуг ДРЛ00001001 от 22.12.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Демонтаж м/р Тайлаковское куст 20 скважина 271, руб",Демонтаж,Тайлаковское,271,3628605.71,604767.62
Договор 110,2025-12-22,Акт об оказании производственных услуг ДРЛ00001001 от 22.12.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Монтаж м/р Тайлаковское куст 20 скважина 271, руб",Монтаж,Тайлаковское,271,5892676.04,982112.67
Договор 110,2025-12-22,Акт об оказании производственных услуг ДРЛ00001001 от 22.12.2025 23:00:00,"Выполнение работ по договору №ДРЛ_1 110_19 (ВР-188-10203/19-24) от 19.12.2019 Переезд м/р Тайлаковское куст 20 скважина 271, руб",Переезд,Тайлаковское,271,5919234.72,986539.12
